curr_epoch train_cost train_ler val_cost val_ler
1 391.099560546875 0.9155605375766754 41.298317 1.15625
2 194.9083145141602 0.8472187638282775 32.82545 1.0
3 182.24459075927734 0.8268643617630004 27.847935 1.375
4 148.7116081237793 0.7696183502674104 31.871 1.03125
5 152.52615356445312 0.7184432148933412 36.20936 1.15625
6 139.74308166503906 0.674545192718506 34.10058 1.0
7 133.09207992553712 0.6700028598308563 21.598728 1.0
8 138.80038452148438 0.643774402141571 29.269537 1.0
9 123.27408294677736 0.626606696844101 21.953405 1.0
10 113.46059188842773 0.643655914068222 22.463474 1.0
11 121.41463851928711 0.6051952123641968 35.59874 1.0
12 105.51826324462891 0.5774148643016814 26.277058 1.0
13 96.7017448425293 0.5456947088241577 24.456898 1.0
14 100.22211227416992 0.5704468131065369 22.961378 1.0625
15 121.32971267700196 0.5414392232894897 16.93121 1.0
16 106.30626068115234 0.5122178614139556 27.963118 1.03125
17 86.83576583862305 0.46150668263435357 17.398897 0.9375
18 75.30932159423828 0.43112733066082004 17.030247 0.71875
19 92.26939392089842 0.3995655328035354 14.758234 0.75
20 79.09664649963379 0.45357858836650844 12.258705 0.84375
21 71.11239395141602 0.39411362111568454 7.7235565 0.78125
22 88.11016273498534 0.4571834594011307 9.434675 0.9375
23 68.06523628234864 0.369376528263092 6.458724 0.6875
24 88.3058364868164 0.42317036390304563 7.2467985 0.78125
25 76.42911376953126 0.3602108359336853 6.402219 0.78125
26 51.194293975830085 0.345849871635437 5.946653 0.71875
27 68.60543975830078 0.32081240415573126 5.0495443 0.625
28 57.03159370422364 0.3167548984289169 5.082438 0.5625
29 66.64681243896484 0.30443476140499115 7.056102 0.75
30 51.85057678222656 0.28642410337924956 6.620755 1.0
31 68.58975868225097 0.314779931306839 5.9330287 0.6875
32 53.9136058807373 0.322098359465599 5.1074324 0.71875
33 50.56443138122559 0.28549102693796163 5.549631 0.75
34 46.03817405700683 0.27228987067937854 5.6910267 0.625
35 42.000680923461914 0.2647615119814873 5.130884 0.71875
36 54.83460807800293 0.24216655045747756 6.701952 0.71875
37 61.78855476379394 0.26760957539081576 5.0555696 0.6875
38 54.408095359802246 0.28300914764404295 4.71569 0.625
39 44.76996459960938 0.25879546999931335 5.3641386 0.6875
40 40.22838916778564 0.2575691431760788 5.0302486 0.6875
41 38.10241279602051 0.2349053829908371 3.6084638 0.65625
42 43.20671195983886 0.2337689056992531 4.073353 0.8125
43 48.87416477203369 0.29463496506214143 4.042101 0.5
44 46.43082656860352 0.25235759764909743 5.6116934 0.6875
45 56.08590736389159 0.24146660566329958 3.6927266 0.46875
46 55.24392681121826 0.2538016736507416 3.5774755 0.46875
47 62.84531497955322 0.23987967222929 3.8958907 0.6875
48 42.62153511047362 0.2515020787715912 4.4021473 0.9375
49 43.43136367797852 0.24840928316116329 3.3743494 0.59375
50 34.401086235046385 0.2167835921049118 6.404267 0.9375
51 54.5497169494629 0.2175852194428444 3.5994415 0.65625
52 44.874426269531256 0.24161680042743683 4.7520924 0.53125
53 36.1498607635498 0.19814178496599197 4.793427 0.59375
54 36.80838871002197 0.20336259454488753 3.520279 0.4375
55 37.99539775848389 0.2104563683271408 3.2121007 0.71875
56 37.225693511962895 0.18524799197912215 3.8930964 0.34375
57 46.92468814849853 0.19724614322185516 3.7140934 0.71875
58 31.388259506225587 0.1873466670513153 3.6086571 0.65625
59 29.65801296234131 0.1898098111152649 3.8116393 0.71875
60 30.856651687622065 0.16809450387954714 3.5883737 0.6875
61 25.127694511413576 0.1754515528678894 2.686255 0.34375
62 30.116357040405273 0.15926392748951912 3.3311853 0.5
63 40.96525077819825 0.22953861951827997 4.078664 0.71875
64 40.10021915435791 0.20495467185974123 2.9752088 0.75
65 30.57983818054199 0.20656854808330533 3.5737202 0.4375
66 32.19698009490966 0.165825654566288 3.3871975 0.71875
67 28.959179115295413 0.15698682367801664 3.2273717 0.625
68 24.695256233215332 0.15084432512521745 3.1440506 0.5
69 46.06779708862305 0.15995939895510672 2.131256 0.40625
70 41.25296268463135 0.16574962437152863 1.9666405 0.3125
71 26.89694366455078 0.18057988733053204 2.9962358 0.46875
72 44.75632381439209 0.15460557714104653 2.5616 0.5625
73 27.879397010803224 0.15400992035865782 2.48735 0.5
74 34.84673252105712 0.17026782035827634 2.5666606 0.46875
75 23.20063171386719 0.12858670726418495 3.1221895 0.4375
76 22.250088310241697 0.14197223037481307 2.75518 0.375
77 41.94202785491944 0.13584527745842934 3.168625 0.75
78 27.746906280517585 0.1607602447271347 2.608725 0.46875
79 23.226408576965333 0.1255850188434124 3.120088 0.46875
80 25.806980895996094 0.13472306579351426 2.2949948 0.40625
81 29.69616985321045 0.1793354518711567 3.279821 0.5
